統編,分類,子分類,項目,來自公司報告,單位,年份,數值
05126366,G,資本額,資本額,,元,2020,5688459210
05126366,G,資本額,資本額,,元,2019,5688459210
12613876,G,資本額,資本額,,元,2020,347396830
12613876,G,資本額,資本額,,元,2019,347396830
12858252,G,資本額,資本額,,元,2020,878008260
12858252,G,資本額,資本額,,元,2019,878008260
23826736,G,資本額,資本額,,元,2020,4422222230
23826736,G,資本額,資本額,,元,2019,4422222230
89406518,G,資本額,資本額,,元,2020,7756965990
89406518,G,資本額,資本額,,元,2019,7756965990
22101116,G,資本額,資本額,,元,2020,5217218760
22101116,G,資本額,資本額,,元,2019,5217218760
22145016,G,資本額,資本額,,元,2020,3828149270
22145016,G,資本額,資本額,,元,2019,3828149270
13145774,G,資本額,資本額,,元,2020,338910000
13145774,G,資本額,資本額,,元,2019,338910000
89004161,G,資本額,資本額,,元,2020,8257019330
89004161,G,資本額,資本額,,元,2019,8257019330
12636560,G,資本額,資本額,,元,2020,1020409260
12636560,G,資本額,資本額,,元,2019,1020409260
76025826,G,資本額,資本額,,元,2020,830000000
76025826,G,資本額,資本額,,元,2019,830000000
29187308,G,資本額,資本額,,元,2020,44080187320
29187308,G,資本額,資本額,,元,2019,44080187320
04982433,G,營運狀況,營業收入,,仟元,2020,759358
04982433,G,營運狀況,營業成本,,仟元,2020,464314
04982433,G,營運狀況,營業費用,,仟元,2020,153936
04982433,G,營運狀況,淨利,,仟元,2020,105636
47217677,G,營運狀況,營業收入,,仟元,2020,176820914
47217677,G,營運狀況,營業成本,,仟元,2020,137823813
47217677,G,營運狀況,營業費用,,仟元,2020,23243584
47217677,G,營運狀況,淨利,,仟元,2020,27180412
89004161,G,營運狀況,營業收入,,仟元,2020,13851909
89004161,G,營運狀況,營業成本,,仟元,2020,13154556
89004161,G,營運狀況,營業費用,,仟元,2020,884398
89004161,G,營運狀況,淨利,,仟元,2020,-266123
22099131,G,營運狀況,營業收入,,仟元,2020,1339254811
22099131,G,營運狀況,營業成本,,仟元,2020,628108309
22099131,G,營運狀況,營業費用,,仟元,2020,145056549
22099131,G,營運狀況,淨利,,仟元,2020,518158082
22099548,G,營運狀況,營業收入,,仟元,2020,39800947
22099548,G,營運狀況,營業成本,,仟元,2020,26391592
22099548,G,營運狀況,營業費用,,仟元,2020,7542878
22099548,G,營運狀況,淨利,,仟元,2020,5325612
22099408,G,營運狀況,營業收入,,仟元,2020,4666756
22099408,G,營運狀況,營業成本,,仟元,2020,3723670
22099408,G,營運狀況,營業費用,,仟元,2020,598933
22099408,G,營運狀況,淨利,,仟元,2020,486307
22099110,G,營運狀況,營業收入,,仟元,2020,1845652
22099110,G,營運狀況,營業成本,,仟元,2020,1427057
22099110,G,營運狀況,營業費用,,仟元,2020,200327
22099110,G,營運狀況,淨利,,仟元,2020,219533
22099218,G,營運狀況,營業收入,,仟元,2020,60683171
22099218,G,營運狀況,營業成本,,仟元,2020,43643035
22099218,G,營運狀況,營業費用,,仟元,2020,15412845
22099218,G,營運狀況,淨利,,仟元,2020,1519043
58506816,G,營運狀況,營業收入,,仟元,2020,8450611
58506816,G,營運狀況,營業成本,,仟元,2020,7118232
58506816,G,營運狀況,營業費用,,仟元,2020,730792
58506816,G,營運狀況,淨利,,仟元,2020,401381
22099202,G,營運狀況,營業收入,,仟元,2020,160171
22099202,G,營運狀況,營業成本,,仟元,2020,115036
22099202,G,營運狀況,營業費用,,仟元,2020,492509
22099202,G,營運狀況,淨利,,仟元,2020,-300090
55625676,G,營運狀況,營業收入,,仟元,2020,5457586
55625676,G,營運狀況,營業成本,,仟元,2020,5158502
55625676,G,營運狀況,營業費用,,仟元,2020,462614
55625676,G,營運狀況,淨利,,仟元,2020,-163140
22671299,G,營運狀況,營業收入,,仟元,2020,77759470
22671299,G,營運狀況,營業成本,,仟元,2020,44510731
22671299,G,營運狀況,營業費用,,仟元,2020,24609176
22671299,G,營運狀況,淨利,,仟元,2020,8793526
86870786,G,營運狀況,營業收入,,仟元,2020,6502715
86870786,G,營運狀況,營業成本,,仟元,2020,4447181
86870786,G,營運狀況,營業費用,,仟元,2020,2834454
86870786,G,營運狀況,淨利,,仟元,2020,4844834
23821182,G,營運狀況,營業收入,,仟元,2020,6414140
23821182,G,營運狀況,營業成本,,仟元,2020,3489044
23821182,G,營運狀況,營業費用,,仟元,2020,2408966
23821182,G,營運狀況,淨利,,仟元,2020,618827
89390656,G,營運狀況,營業收入,,仟元,2020,61005514
89390656,G,營運狀況,營業成本,,仟元,2020,45313936
89390656,G,營運狀況,營業費用,,仟元,2020,7257104
89390656,G,營運狀況,淨利,,仟元,2020,7686041
22404266,G,營運狀況,營業收入,,仟元,2020,133723
22404266,G,營運狀況,營業成本,,仟元,2020,122895
22404266,G,營運狀況,營業費用,,仟元,2020,79103
22404266,G,營運狀況,淨利,,仟元,2020,-6266
22099499,G,營運狀況,營業收入,,仟元,2020,2619977
22099499,G,營運狀況,營業成本,,仟元,2020,1953708
22099499,G,營運狀況,營業費用,,仟元,2020,539926
22099499,G,營運狀況,淨利,,仟元,2020,341504
05126366,G,營運狀況,營業收入,,仟元,2020,14701682
05126366,G,營運狀況,營業成本,,仟元,2020,10892042
05126366,G,營運狀況,營業費用,,仟元,2020,563547
05126366,G,營運狀況,淨利,,仟元,2020,2662311
22507241,G,營運狀況,營業收入,,仟元,2020,28959304
22507241,G,營運狀況,營業成本,,仟元,2020,21005316
22507241,G,營運狀況,營業費用,,仟元,2020,3303277
22507241,G,營運狀況,淨利,,仟元,2020,3637140
23446187,G,營運狀況,營業收入,,仟元,2020,11446696
23446187,G,營運狀況,營業成本,,仟元,2020,8976600
23446187,G,營運狀況,營業費用,,仟元,2020,1258160
23446187,G,營運狀況,淨利,,仟元,2020,1197735
84149961,G,營運狀況,營業收入,,仟元,2020,322145988
84149961,G,營運狀況,營業成本,,仟元,2020,180610472
84149961,G,營運狀況,營業費用,,仟元,2020,98316277
84149961,G,營運狀況,淨利,,仟元,2020,41438573
84149224,G,營運狀況,營業收入,,仟元,2020,15099690
84149224,G,營運狀況,營業成本,,仟元,2020,8045231
84149224,G,營運狀況,營業費用,,仟元,2020,2836997
84149224,G,營運狀況,淨利,,仟元,2020,3193038
22145016,G,營運狀況,營業收入,,仟元,2020,10485100
22145016,G,營運狀況,營業成本,,仟元,2020,8038328
22145016,G,營運狀況,營業費用,,仟元,2020,1454689
22145016,G,營運狀況,淨利,,仟元,2020,900541
16130280,G,營運狀況,營業收入,,仟元,2020,15267139
16130280,G,營運狀況,營業成本,,仟元,2020,12618097
16130280,G,營運狀況,營業費用,,仟元,2020,1494257
16130280,G,營運狀況,淨利,,仟元,2020,1084441
84149717,G,營運狀況,營業收入,,仟元,2020,4817829
84149717,G,營運狀況,營業成本,,仟元,2020,2359562
84149717,G,營運狀況,營業費用,,仟元,2020,1344564
84149717,G,營運狀況,淨利,,仟元,2020,935476
16130388,G,營運狀況,營業收入,,仟元,2020,4039180
16130388,G,營運狀況,營業成本,,仟元,2020,3795221
16130388,G,營運狀況,營業費用,,仟元,2020,232471
16130388,G,營運狀況,淨利,,仟元,2020,25693
84149955,G,營運狀況,營業收入,,仟元,2020,79955520
84149955,G,營運狀況,營業成本,,仟元,2020,51997813
84149955,G,營運狀況,營業費用,,仟元,2020,13180109
84149955,G,營運狀況,淨利,,仟元,2020,11817239
84149060,G,營運狀況,營業收入,,仟元,2020,5495307
84149060,G,營運狀況,營業成本,,仟元,2020,2895681
84149060,G,營運狀況,營業費用,,仟元,2020,2450514
84149060,G,營運狀況,淨利,,仟元,2020,255997
84149054,G,營運狀況,營業收入,,仟元,2020,2071615
84149054,G,營運狀況,營業成本,,仟元,2020,1413905
84149054,G,營運狀況,營業費用,,仟元,2020,1013062
84149054,G,營運狀況,淨利,,仟元,2020,-240957
86143822,G,營運狀況,營業收入,,仟元,2020,276879
86143822,G,營運狀況,營業成本,,仟元,2020,301991
86143822,G,營運狀況,營業費用,,仟元,2020,78096
86143822,G,營運狀況,淨利,,仟元,2020,-13613
84149759,G,營運狀況,營業收入,,仟元,2020,233542
84149759,G,營運狀況,營業成本,,仟元,2020,76765
84149759,G,營運狀況,營業費用,,仟元,2020,136544
84149759,G,營運狀況,淨利,,仟元,2020,33436
16372688,G,營運狀況,營業收入,,仟元,2020,317396
16372688,G,營運狀況,營業成本,,仟元,2020,182545
16372688,G,營運狀況,營業費用,,仟元,2020,98249
16372688,G,營運狀況,淨利,,仟元,2020,40220
70785139,G,營運狀況,營業收入,,仟元,2020,27098474
70785139,G,營運狀況,營業成本,,仟元,2020,21279420
70785139,G,營運狀況,營業費用,,仟元,2020,4478475
70785139,G,營運狀況,淨利,,仟元,2020,929443
16130417,G,營運狀況,營業收入,,仟元,2020,1071450
16130417,G,營運狀況,營業成本,,仟元,2020,564609
16130417,G,營運狀況,營業費用,,仟元,2020,233172
16130417,G,營運狀況,淨利,,仟元,2020,239751
12858252,G,營運狀況,營業收入,,仟元,2020,9942056
12858252,G,營運狀況,營業成本,,仟元,2020,7393954
12858252,G,營運狀況,營業費用,,仟元,2020,912867
12858252,G,營運狀況,淨利,,仟元,2020,1242002
16299879,G,營運狀況,營業收入,,仟元,2020,13569441
16299879,G,營運狀況,營業成本,,仟元,2020,9498564
16299879,G,營運狀況,營業費用,,仟元,2020,3106944
16299879,G,營運狀況,淨利,,仟元,2020,850007
12624467,G,營運狀況,營業收入,,仟元,2020,6208576
12624467,G,營運狀況,營業成本,,仟元,2020,4782103
12624467,G,營運狀況,營業費用,,仟元,2020,538281
12624467,G,營運狀況,淨利,,仟元,2020,571224
27298412,G,營運狀況,營業收入,,仟元,2020,3328695
27298412,G,營運狀況,營業成本,,仟元,2020,2656485
27298412,G,營運狀況,營業費用,,仟元,2020,350633
27298412,G,營運狀況,淨利,,仟元,2020,281438
89406518,G,營運狀況,營業收入,,仟元,2020,11934697
89406518,G,營運狀況,營業成本,,仟元,2020,9520690
89406518,G,營運狀況,營業費用,,仟元,2020,576363
89406518,G,營運狀況,淨利,,仟元,2020,1307911
70734477,G,營運狀況,營業收入,,仟元,2020,532536
70734477,G,營運狀況,營業成本,,仟元,2020,490316
70734477,G,營運狀況,營業費用,,仟元,2020,151428
70734477,G,營運狀況,淨利,,仟元,2020,-128547
28069900,G,營運狀況,營業收入,,仟元,2020,13800348
28069900,G,營運狀況,營業成本,,仟元,2020,10371572
28069900,G,營運狀況,營業費用,,仟元,2020,2398039
28069900,G,營運狀況,淨利,,仟元,2020,983458
30901647,G,營運狀況,營業收入,,仟元,2020,3580003
30901647,G,營運狀況,營業成本,,仟元,2020,2124090
30901647,G,營運狀況,營業費用,,仟元,2020,990974
30901647,G,營運狀況,淨利,,仟元,2020,305463
80254357,G,營運狀況,營業收入,,仟元,2020,1446599
80254357,G,營運狀況,營業成本,,仟元,2020,980496
80254357,G,營運狀況,營業費用,,仟元,2020,387855
80254357,G,營運狀況,淨利,,仟元,2020,60508
80532726,G,營運狀況,營業收入,,仟元,2020,14425152
80532726,G,營運狀況,營業成本,,仟元,2020,10678556
80532726,G,營運狀況,營業費用,,仟元,2020,2643783
80532726,G,營運狀況,淨利,,仟元,2020,856617
31659649,G,營運狀況,營業收入,,仟元,2020,7078919
31659649,G,營運狀況,營業成本,,仟元,2020,4771652
31659649,G,營運狀況,營業費用,,仟元,2020,1320124
31659649,G,營運狀況,淨利,,仟元,2020,834917
28823511,G,營運狀況,營業收入,,仟元,2020,104515
28823511,G,營運狀況,營業成本,,仟元,2020,108389
28823511,G,營運狀況,營業費用,,仟元,2020,41280
28823511,G,營運狀況,淨利,,仟元,2020,-150964
29187308,G,營運狀況,營業收入,,仟元,2020,476978710
29187308,G,營運狀況,營業成本,,仟元,2020,398994442
29187308,G,營運狀況,營業費用,,仟元,2020,43108186
29187308,G,營運狀況,淨利,,仟元,2020,29276780
28112646,G,營運狀況,營業收入,,仟元,2020,20668056
28112646,G,營運狀況,營業成本,,仟元,2020,12961144
28112646,G,營運狀況,營業費用,,仟元,2020,7384630
28112646,G,營運狀況,淨利,,仟元,2020,532785
28733011,G,營運狀況,營業收入,,仟元,2020,679670
28733011,G,營運狀況,營業成本,,仟元,2020,554142
28733011,G,營運狀況,營業費用,,仟元,2020,101146
28733011,G,營運狀況,淨利,,仟元,2020,14661
12901841,G,營運狀況,營業收入,,仟元,2020,677238
12901841,G,營運狀況,營業成本,,仟元,2020,277102
12901841,G,營運狀況,營業費用,,仟元,2020,560289
12901841,G,營運狀況,淨利,,仟元,2020,-51231
80333472,G,營運狀況,營業收入,,仟元,2020,379285
80333472,G,營運狀況,營業成本,,仟元,2020,129442
80333472,G,營運狀況,營業費用,,仟元,2020,174669
80333472,G,營運狀況,淨利,,仟元,2020,48855
80741441,G,營運狀況,營業收入,,仟元,2020,2899677
80741441,G,營運狀況,營業成本,,仟元,2020,1910243
80741441,G,營運狀況,營業費用,,仟元,2020,666062
80741441,G,營運狀況,淨利,,仟元,2020,282037
84149499,G,營運狀況,營業收入,,仟元,2020,10879700
84149499,G,營運狀況,營業成本,,仟元,2020,8498524
84149499,G,營運狀況,營業費用,,仟元,2020,1587928
84149499,G,營運狀況,淨利,,仟元,2020,731828
97418375,G,營運狀況,營業收入,,仟元,2020,7501914
97418375,G,營運狀況,營業成本,,仟元,2020,6866367
97418375,G,營運狀況,營業費用,,仟元,2020,445979
97418375,G,營運狀況,淨利,,仟元,2020,141292
80661880,G,營運狀況,營業收入,,仟元,2020,5350200
80661880,G,營運狀況,營業成本,,仟元,2020,3451573
80661880,G,營運狀況,營業費用,,仟元,2020,890675
80661880,G,營運狀況,淨利,,仟元,2020,866216
16130296,G,營運狀況,營業收入,,仟元,2020,706035
16130296,G,營運狀況,營業成本,,仟元,2020,320971
16130296,G,營運狀況,營業費用,,仟元,2020,165301
16130296,G,營運狀況,淨利,,仟元,2020,164118
25104761,G,營運狀況,營業收入,,仟元,2020,1117042
25104761,G,營運狀況,營業成本,,仟元,2020,981947
25104761,G,營運狀況,營業費用,,仟元,2020,113112
25104761,G,營運狀況,淨利,,仟元,2020,10030
80688184,G,營運狀況,營業收入,,仟元,2020,6987470
80688184,G,營運狀況,營業成本,,仟元,2020,3343785
80688184,G,營運狀況,營業費用,,仟元,2020,1155429
80688184,G,營運狀況,淨利,,仟元,2020,2927912
12636560,G,營運狀況,營業收入,,仟元,2020,4347192
12636560,G,營運狀況,營業成本,,仟元,2020,3721172
12636560,G,營運狀況,營業費用,,仟元,2020,400452
12636560,G,營運狀況,淨利,,仟元,2020,129038
16436867,G,營運狀況,營業收入,,仟元,2020,242286
16436867,G,營運狀況,營業成本,,仟元,2020,143785
16436867,G,營運狀況,營業費用,,仟元,2020,99396
16436867,G,營運狀況,淨利,,仟元,2020,1768
97063584,G,營運狀況,營業收入,,仟元,2020,5370626
97063584,G,營運狀況,營業成本,,仟元,2020,3088156
97063584,G,營運狀況,營業費用,,仟元,2020,1046307
97063584,G,營運狀況,淨利,,仟元,2020,1025601
16130330,G,營運狀況,營業收入,,仟元,2020,5614539
16130330,G,營運狀況,營業成本,,仟元,2020,2987604
16130330,G,營運狀況,營業費用,,仟元,2020,1470272
16130330,G,營運狀況,淨利,,仟元,2020,1048117
16082267,G,營運狀況,營業收入,,仟元,2020,76180649
16082267,G,營運狀況,營業成本,,仟元,2020,61152021
16082267,G,營運狀況,營業費用,,仟元,2020,4310458
16082267,G,營運狀況,淨利,,仟元,2020,8178977
16505809,G,營運狀況,營業收入,,仟元,2020,636513
16505809,G,營運狀況,營業成本,,仟元,2020,490593
16505809,G,營運狀況,營業費用,,仟元,2020,171492
16505809,G,營運狀況,淨利,,仟元,2020,-61358
23218022,G,營運狀況,營業收入,,仟元,2020,12428549
23218022,G,營運狀況,營業成本,,仟元,2020,8819196
23218022,G,營運狀況,營業費用,,仟元,2020,1270608
23218022,G,營運狀況,淨利,,仟元,2020,1926589
04226986,G,營運狀況,營業收入,,仟元,2020,10178002
04226986,G,營運狀況,營業成本,,仟元,2020,7282206
04226986,G,營運狀況,營業費用,,仟元,2020,890349
04226986,G,營運狀況,淨利,,仟元,2020,1450675
02906023,G,營運狀況,營業收入,,仟元,2020,13876445
02906023,G,營運狀況,營業成本,,仟元,2020,7204323
02906023,G,營運狀況,營業費用,,仟元,2020,3613711
02906023,G,營運狀況,淨利,,仟元,2020,3241795
12894399,G,營運狀況,營業收入,,仟元,2020,128364
12894399,G,營運狀況,營業成本,,仟元,2020,846
12894399,G,營運狀況,營業費用,,仟元,2020,110558
12894399,G,營運狀況,淨利,,仟元,2020,15765
38649225,G,營運狀況,營業收入,,仟元,2020,4849689
38649225,G,營運狀況,營業成本,,仟元,2020,3269332
38649225,G,營運狀況,營業費用,,仟元,2020,618751
38649225,G,營運狀況,淨利,,仟元,2020,719556
13145774,G,營運狀況,營業收入,,仟元,2020,2909821
13145774,G,營運狀況,營業成本,,仟元,2020,1743140
13145774,G,營運狀況,營業費用,,仟元,2020,498843
13145774,G,營運狀況,淨利,,仟元,2020,530965
49791260,G,營運狀況,營業收入,,仟元,2020,3750121
49791260,G,營運狀況,營業成本,,仟元,2020,2546565
49791260,G,營運狀況,營業費用,,仟元,2020,283984
49791260,G,營運狀況,淨利,,仟元,2020,684661
53503847,G,營運狀況,營業收入,,仟元,2020,3549497
53503847,G,營運狀況,營業成本,,仟元,2020,2523826
53503847,G,營運狀況,營業費用,,仟元,2020,505925
